,ChEMBL ID,Name,SMILES,Molecular Weight,LogP,HBA,HBD,TPSA,Protein
150,CHEMBL415300,ISOCLOZAPINE,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,326.83,3.72,4,1,30.87,DRD2
151,CHEMBL72292,,CN1CCN(C2=Nc3ccccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,440.45,3.30,7,1,74.24,DRD2
152,CHEMBL81485,,CNCC1CC2c3ccccc3Cc3ccccc3N2O1,280.37,3.06,3,1,24.50,DRD2
153,CHEMBL70319,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,474.89,3.95,7,1,74.24,DRD2
154,CHEMBL73589,,CN1CCN(C2=Nc3ccccc3Sc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,457.50,3.71,7,0,62.21,DRD2
155,CHEMBL83658,,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,294.40,3.40,3,0,15.71,DRD2
156,CHEMBL306474,,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(C)(=O)=O)cc32)CC1,387.46,2.46,7,0,71.44,DRD2
157,CHEMBL313189,,CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,308.43,3.79,3,0,15.71,DRD2
158,CHEMBL430798,,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,441.43,3.35,7,0,71.44,DRD2
159,CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.37,3.08,2,0,6.48,DRD2
160,CHEMBL603,ZAFIRLUKAST,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,575.69,5.70,7,2,115.73,DRD2
161,CHEMBL120055,,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,392.50,2.71,4,2,74.59,DRD2
162,CHEMBL28902,,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)cc1,503.01,7.68,5,0,52.83,DRD2
163,CHEMBL160581,,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(c4cccc5ccccc45)CC3)cc12,428.54,3.55,4,2,74.59,DRD2
164,CHEMBL31714,,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3nc4cc(F)ccc4s3)c2)cc1,492.58,7.23,6,0,52.83,DRD2
165,CHEMBL19331,,Oc1ccc2c(c1)CCN2,135.17,1.36,2,2,32.26,DRD2
166,CHEMBL2303762,,OC[C@H]1O[C@H](Oc2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)[C@H](O)[C@H](O)[C@H]1O,433.46,-0.29,9,7,151.87,DRD2
167,CHEMBL349034,,Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1,383.52,3.80,5,1,44.29,DRD2
168,CHEMBL164792,,COc1ccccc1N1CCN(CC[C@H]2CC[C@H](Nc3ncccn3)CC2)CC1,395.55,3.67,6,1,53.52,DRD2
